,0,1,2
0,LA MONEDA,0.7184001256994029,0.4817479219422634
1,ESCUELA MILITAR,0.8545596592148896,0.8204774590742264
2,SAN ALBERTO HURTADO,0.6784015223596257,0.3065594140959827
3,UNIVERSIDAD DE CHILE,0.7233739819656146,0.50445735157068
4,HOSPITAL SOTERO DEL RIO,0.14440157473441567,0.8245959201348017
5,VICUNA MACKENNA,0.3923960579264911,0.7601408278342048
6,ZAPADORES,0.954132804930215,0.5418765120636804
7,CAL Y CANTO,0.7717900819664985,0.49453068371160086
8,SANTA ANA L2,0.7476191307535802,0.4600626947443739
9,VICENTE VALDES,0.36064778847579926,0.7567321541198351
10,LA CISTERNA L2,0.31470246772406857,0.439220928371707
11,SANTA LUCIA,0.728253563665897,0.5264428734148712
12,PLAZA DE PUENTE ALTO,0.0,0.8550489979196868
13,RODRIGO DE ARAYA,0.576257648897097,0.6366105300812304
14,BARRANCAS,0.6847039516755522,0.08731137448357831
15,SAN MIGUEL,0.5270166464442064,0.5007530900224366
16,PAJARITOS,0.661519391754479,0.196707113876685
17,LAS REJAS,0.6651157918626956,0.2428903595063908
18,TOBALABA L1,0.8353861329096656,0.7352700298411763
19,PLAZA MAIPU,0.4322008746584935,0.0015861958600297957
20,CARLOS VALDOVINOS,0.5407955725870744,0.6491400653305535
21,MACUL,0.4371751673809721,0.788417946135222
22,IRARRAZAVAL,0.7090014752223674,0.5985418294439265
23,NEPTUNO,0.6896053561920011,0.1641736249047498
24,PLAZA DE ARMAS,0.751957506612333,0.5037042615481431
25,QUILIN,0.5305039324715276,0.8346873264362208
26,DORSAL,0.9285433706648798,0.5407657042804903
27,GRECIA,0.6142162553793064,0.8536510745653414
28,BELLAS ARTES,0.7552946516642127,0.5333929529600888
29,BAQUEDANO L1,0.7516803568466965,0.5852083705956228
30,LOS PRESIDENTES,0.5663020801508459,0.8418369748373916
31,ECUADOR,0.6699604570570679,0.2725150382664118
32,UNIVERSIDAD DE SANTIAGO,0.6837131958204801,0.336146438354907
33,ESTACION CENTRAL,0.6902465105316741,0.37163957111520013
34,PUDAHUEL,0.7189177628994812,0.0792862589313229
35,REPUBLICA,0.7052915964699351,0.4236272580933872
36,MANQUEHUE,0.874204558349854,0.8888015513655405
37,SAN JOAQUIN,0.4812782059899011,0.6671007916859093
38,RONDIZONNI,0.6088740299758311,0.4764988844853772
39,LOS HEROES L1,0.7119837812830249,0.45248613843689417
40,GRUTA DE LOURDES,0.7475842142476701,0.3140809006956929
41,LAS PARCELAS,0.5855192520884344,0.08248218471419172
42,LO OVALLE,0.39467523284942085,0.30668132054342806
43,MIRADOR,0.42166481900157565,0.710653399730768
44,VESPUCIO NORTE,1.0,0.5212606726976609
45,FRANKLIN,0.5819272165434449,0.5080298223649176
46,SANTA ANA L5,0.7476191307535802,0.4600626947443739
47,SALVADOR,0.7700835377403771,0.6165077332932811
48,CIUDAD DEL NINO,0.4337721174242014,0.4740089805985573
49,SANTA ROSA,0.29258286123308397,0.5810183659829438
50,PLAZA EGANA,0.6820459326634959,0.8793973397095884
51,DEPARTAMENTAL,0.4669689854136334,0.48445810466069655
52,BLANQUEADO,0.733429935666338,0.23649850794045252
53,ELISA CORREA,0.17520229750610192,0.818778299711107
54,LOS LEONES,0.8182678794333044,0.7020761750557711
55,LOS DOMINICOS,0.8801229061007689,1.0
56,FRANCISCO BILBAO,0.7771672238758839,0.8139302826912724
57,PROTECTORA DE LA INFANCIA,0.08842605120505771,0.8371678166979839
58,PEDRO DE VALDIVIA,0.805187283408515,0.6746877029812526
59,UNION LATINO AMERICANA,0.6986792831641375,0.39708554161294474
60,DEL SOL,0.5209918033502454,0.01886302233857142
